Precio;Distancia;Duracion;TipoViaje;Trayecto
14.99;507;7:20;Transbordo;[Sevilla-09:00, Huelva-10:10, Faro-11:20, Faro-11:30,Aeropuerto Faro-12:30, Albufeira-13:40,Albufeira-14:00, Lisboa-FIN]
64.99;1153;16:00;Transbordo;[Madrid-08:00, Hub-09:45, Hub-11:30, Bilbao-13:15, San Sebastián-15:00, Irún-16:45, Orthez-18:30, Toulouse-20:15, Nimes-FIN]
99.99;923;12:50;Directo;[Paris-07:00, Lyon-09:10, Chambéry-11:20, Oulx-13:30, Turín-15:40, Milán-FIN]
69.04;1487;24:50;Transbordo;[Grenoble-06:00, Valence-08:15, Aviñón-10:30, Nimes-12:45, Toulouse-15:00, Orthez-17:15, Irún-19:30, Irún-19:40,San Sebastián-21:45, Pamplona-00:00, Tudela-02:15, Lleida-04:30, Barcelona-FIN]
35.50;350;4:30;Directo;[Valencia-08:00, Castellón-09:00, Tarragona-10:30, Barcelona-FIN]
89.99;800;10:00;Transbordo;[Bilbao-07:00, Hub-08:30, Hub-10:00, Madrid-12:30, Córdoba-15:00, Sevilla-17:00]
49.99;625;9:00;Directo;[Lisboa-06:00, Badajoz-08:30, Mérida-10:00, Madrid-FIN]
120.00;960;14:00;Transbordo;[Munich-05:00, Hub-06:30, Hub-08:00, Innsbruck-09:30, Verona-12:00, Bologna-14:30, Roma-FIN]
30.99;350;5:00;Directo;[Berlin-07:00, Dresden-09:00, Ústí nad Labem-10:30, Prague-FIN]
40.99;500;6:30;Directo;[Athens-07:30, Lamia-10:00, Larisa-12:00, Thessaloniki-FIN]
60.99;460;6:00;Transbordo;[Copenhagen-06:00, Hub-07:30, Hub-09:00, Odense-10:00, Hamburg-FIN]
75.99;650;8:00;Directo;[London-08:00, Birmingham-10:30, Manchester-12:30, Edinburgh-FIN]
65.99;680;8:30;Directo;[Zurich-07:00, Innsbruck-09:30, Salzburg-11:30, Vienna-FIN]
20.99;300;4:00;Directo;[Warsaw-08:00, Lodz-09:30, Kielce-11:00, Krakow-FIN]
95.99;1100;14:30;Transbordo;[Amsterdam-06:00, Cologne-09:00, Frankfurt-11:15, Munich-14:30, Munich-14:40, Salzburg-17:00, Vienna-FIN]
110.99;1450;18:00;Transbordo;[Lisbon-05:00, Porto-08:00, Porto-08:15, Bilbao-12:10, Bordeaux-15:30, Bordeaux-15:40, Paris-FIN]
70.99;610;9:00;Transbordo;[Oslo-07:00, Gothenburg-10:00, Malmö-12:30, Malmö-12:40, Copenhagen-FIN]
130.99;1900;21:00;Transbordo;[Madrid-06:00, Zaragoza-09:00,Barcelona-12:00, Barcelona-12:15, Lyon-16:30, Lyon-16:45, Frankfurt-20:30, Berlin-FIN]
125.99;1650;20:00;Cancelado;[Rome-05:00, Florence-07:30, Milan-10:30, Milan-10:45, Zurich-13:45, Frankfurt-17:00, Frankfurt-17:10, Amsterdam-FIN]
